Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,X_coordinate,Y_coordinate,Postal_code,Security_region_code,Security_region_name,Percentage_in_security_region,RNA_per_ml,Representative_measurement
2020/8/26,5002,Enschede,254652,472540,7547AM,VR05,Twente,1,58,TRUE
2020/8/26,7022,Etten,218761,438451,7061GK,VR06,Noord- en Oost-Gelderland,1,0,TRUE
2020/8/26,2038,Franeker,166837,577207,8801JW,VR02,Friesland,1,0,TRUE
2020/8/26,4024,Hardenberg,237908,506639,7691PZ,VR04,IJsselland,1,0,TRUE
2020/8/26,2032,Harlingen,159027,576146,8861KT,VR02,Friesland,1,0,TRUE
2020/8/26,2022,Joure,180039,554315,8512AT,VR02,Friesland,1,0,TRUE
2020/8/26,4023,Kampen,188724,509149,8263CH,VR04,IJsselland,1,0,TRUE
2020/8/26,13030,Leimuiden,104642,470631,2451VX,VR16,Hollands-Midden,"0,855650522",0,TRUE
2020/8/26,13030,Leimuiden,104642,470631,2451VX,VR12,Kennemerland,"0,144349478",0,TRUE
2020/8/26,30007,Bosscherveld,175697,319239,6219NW,VR24,Limburg-Zuid,1,240,TRUE
2020/8/26,13038,Nieuwveen,112426,466225,2441LB,VR16,Hollands-Midden,1,0,TRUE
2020/8/26,30023,Panheel,189132,354020,6097NE,VR23,Limburg-Noord,1,36,TRUE
2020/8/26,30011,Simpelveld,196000,316000,6369XV,VR24,Limburg-Zuid,1,47,TRUE
2020/8/26,3028,Sleen,249969,532246,7841BP,VR03,Drenthe,1,0,TRUE
2020/8/26,30022,Susteren,186972,341598,6114RG,VR23,Limburg-Noord,"0,321863866",443,TRUE
2020/8/26,30022,Susteren,186972,341598,6114RG,VR24,Limburg-Zuid,"0,678136134",443,TRUE
2020/8/26,30017,Venlo,208583,377116,5928NM,VR23,Limburg-Noord,1,292,TRUE
2020/8/26,2037,Warns,155244,544925,8722HN,VR02,Friesland,1,0,TRUE
2020/8/26,12021,Wervershoof,137975,527101,1693HC,VR10,Noord-Holland-Noord,1,0,TRUE
2020/8/26,12018,Wieringen,131100,549100,1779GX,VR10,Noord-Holland-Noord,1,0,TRUE
2020/8/26,7016,Winterswijk,245363,444972,7103AX,VR06,Noord- en Oost-Gelderland,1,0,TRUE
2020/8/26,4026,Zwolle,199604,502805,8042PK,VR04,IJsselland,1,0,TRUE
2020/8/27,2015,Gorredijk,199899,558357,8401JD,VR02,Friesland,1,0,TRUE
2020/8/27,2011,Leeuwarden,184401,578940,8937AN,VR02,Friesland,1,59,TRUE
2020/8/27,23002,Terneuzen,46894,368651,4538BJ,VR19,Zeeland,1,59,TRUE
2020/8/28,6005,Almere,145400,490200,1332AG,VR25,Flevoland,1,627,TRUE
2020/8/28,6003,Dronten,177400,505500,8251KM,VR25,Flevoland,1,0,TRUE
2020/8/28,1033,Garmerwolde,240219,585040,9798TC,VR01,Groningen,1,0,TRUE
2020/8/28,32002,Tilburg,132554,401565,5048TD,VR20,Midden- en West-Brabant,1,328,TRUE
2020/8/28,4027,Tollebeek,175622,521799,8309PP,VR25,Flevoland,1,24,TRUE
2020/8/29,10027,Amersfoort,152483,464648,3812RH,VR09,Utrecht,1,178,TRUE
2020/8/29,2021,Damwoude,197783,588948,9113AV,VR02,Friesland,1,0,TRUE
2020/8/29,8021,Ede,170941,450113,6715AT,VR07,Gelderland-Midden,1,201,TRUE
2020/8/29,2038,Franeker,166837,577207,8801JW,VR02,Friesland,1,0,TRUE
2020/8/29,29003,Land van Cuijk,189957,411781,5443PL,VR21,Brabant-Noord,1,165,TRUE
2020/8/29,5012,Oldenzaal,257703,481136,7576PE,VR05,Twente,1,371,TRUE
2020/8/29,10020,Woudenberg,158675,455096,3931MR,VR07,Gelderland-Midden,"0,341985268",0,TRUE
